Well_ID,TH_2022,NO3_2022,Cl_2022,F_2022,SO4_2022,Ca_2022,Mg_2022,Na_2022
2.128E+14,325,45.1,49.6,0.5,35.7,78.2,31.6,40.5
2.0531E+14,350,23.5,17.7,0.35,23.9,76.2,38.9,25.5
2.056E+14,325,45.9,81.5,0.39,46.1,66.1,38.9,45.7
2.049E+14,425,47.4,124.1,0.44,87.7,50.1,72.9,84.3
2.1051E+14,325,47.7,109.9,0.18,64.9,78.2,31.6,59.4
2.041E+14,255,7.6,63.8,0.36,45.2,52.1,30.4,32.7
2.12136E+14,520,48.1,191.4,0.53,89.4,120.2,53.5,98.5
2.11855E+14,425,47.7,237.5,0.37,84.4,110.2,36.5,147.2
2.1183E+14,350,48.2,109.9,0.53,66.8,100.2,24.3,51.8
2.11955E+14,460,48.2,120.5,0.51,75,110.2,45,61.8
2.1214E+14,190,9.1,49.6,0.49,47.5,40.1,21.9,39
2.1231E+14,350,47.6,170.2,0.55,59.9,82.2,35.2,102.3
2.12335E+14,360,43,92.2,0.35,51.4,78.2,40.1,49.8
2.12235E+14,640,48.3,187.9,0.27,76.8,70.1,113,83.1
2.055E+14,250,47.6,102.8,0.22,61.4,60.1,24.3,87.4
2.1194E+14,220,25.4,17.7,0.2,23.2,50.1,23.1,22.7
2.123E+14,370,47.8,102.8,0.48,49.7,80.2,41.3,80
2.1295E+14,535,46.7,131.2,0.51,80.5,150.3,38.9,44.7
2.0375E+14,250,48.5,148.9,0.3,54.3,52.1,29.2,68.9
2.04518E+14,325,47.6,39,0.41,33.3,70.1,36.5,49.3
2.1233E+14,445,29.5,78,0.27,16.5,100.2,47.4,83.5
2.12614E+14,840,49.6,464.4,0.33,82,140.3,119.1,91.4
2.12518E+14,300,32.7,53.2,0.51,44.2,66.1,32.8,50.1
2.12001E+14,310,47.9,109.9,0.39,37.7,64.1,36.5,42.3
2.03954E+14,300,24.9,156,0.25,50.6,68.1,31.6,30.7
2.101E+14,430,46.6,290.7,0.54,50.1,76.2,58.3,395
2.114E+14,340,29.6,85.1,0.43,42.3,74.1,37.7,117
2.126E+14,200,25.1,14.2,0.34,16.4,44.1,21.9,12.3
2.134E+14,170,2.3,14.2,0.18,6.6,28.1,24.3,9
2.1143E+14,400,49,333.2,0.67,52.2,90.2,42.5,134.6
2.1305E+14,190,39.1,31.9,0.59,22.7,50.1,15.8,105.3
2.13E+14,175,1.6,21.3,0.25,9.8,40.1,18.2,9.6
2.132E+14,250,23.1,63.8,0.22,21.5,52.1,29.2,12.7
2.103E+14,345,49.6,276.5,1.22,45.6,80.2,35.2,426.1
2.11252E+14,450,49.6,198.5,0.27,48,96.2,51,33.3
2.05537E+14,410,49,779.9,0.29,41.4,100.2,38.9,398.6
2.11917E+14,225,26.7,31.9,0.26,28.2,30.1,36.5,37.8
2.12016E+14,270,40.8,31.9,0.27,28.1,48.1,36.5,22.7
2.05941E+14,650,49.8,1559.8,0.2,47.2,92.2,102.1,1155.1
2.05429E+14,335,49,102.8,0.86,55.8,60.1,45,145.5
2.10327E+14,290,48.9,102.8,0.53,40,50.1,40.1,61.3
2.05614E+14,225,3,21.3,0.34,20.8,50.1,24.3,17.6
2.1243E+14,250,39.4,35.5,0.27,20.2,40.1,36.5,26.4
2.12413E+14,210,43.3,42.5,0.18,31.1,48.1,21.9,12.3
2.12116E+14,210,15,21.3,0.25,28.9,34.1,30.4,14.7
2.13438E+14,175,1.9,3.5,0.2,10.9,40.1,18.2,10
2.05653E+14,425,31.1,202.1,0.37,48.3,100.2,42.5,178.9
2.0073E+14,525,81.6,216.2,0.53,85.1,102.2,65.6,86.4
1.955E+14,355,5.6,67.4,0.39,80.6,58.1,51,39.8
2.016E+14,595,85.4,251.7,0.38,65.5,100.2,83.8,64.4
2.008E+14,1720,89.4,1701.6,0.66,852.4,190.4,302.5,1122.7
2.005E+14,460,81.2,138.3,1.24,78.4,60.1,75.3,200.8
2.01E+14,370,78.1,95.7,0.61,63.9,62.1,52.2,53.1
2.001E+14,310,54.2,78,0.5,53.7,56.1,41.3,53
2.01E+14,510,52.9,156,0.59,197.5,94.2,66.8,91.2
2.00015E+14,490,64.8,124.1,0.56,47,60.1,82.6,95.9
2.00205E+14,460,67,180.8,0.43,100.2,76.2,65.6,81
1.94158E+14,545,60.3,187.9,0.34,170.1,104.2,69.3,98.6
2.00323E+14,450,59.9,170.2,0.39,83.2,72.1,65.6,47.9
1.95554E+14,300,10.8,99.3,0.69,45.1,52.1,41.3,54.1
2.01728E+14,345,78.1,60.3,0.54,34.7,54.1,51,23.8
1.93904E+14,780,80,482.1,0.81,359.6,84.2,138.5,404.6
1.93155E+14,310,24.3,106.4,0.58,60.3,38.1,52.2,85.5
1.95206E+14,760,66.3,386.4,0.63,205.3,118.2,113,181.6
1.95409E+14,485,8.7,198.5,0.54,31.9,68.1,76.5,92.1
1.95051E+14,500,65.6,134.7,0.59,67.5,78.2,74.1,52.7
1.94352E+14,310,60.2,60.3,0.53,47.7,54.1,42.5,30.3
2.02723E+14,550,85.2,198.5,0.56,68.8,64.1,94.8,75
1.95321E+14,365,36,134.7,0.45,65.8,60.1,52.2,94.8
1.9531E+14,325,61,124.1,0.49,74,52.1,47.4,99
1.95305E+14,260,15.3,99.3,0.48,24.9,54.1,30.4,66.3
1.93418E+14,350,45.9,81.5,0.58,64.6,64.1,46.2,48
1.92925E+14,400,10.1,180.8,0.53,144.7,52.1,65.6,146.6
2.02121E+14,395,65.6,141.8,0.55,81.3,64.1,57.1,35.5
2.01156E+14,360,68.3,63.8,0.57,61.9,62.1,49.8,33.7
1.95317E+14,315,20.2,131.2,0.44,58.3,54.1,43.7,103.5
1.95401E+14,445,32.3,127.6,0.65,122.7,66.1,68,74.2
1.9565E+14,260,13.8,42.5,0.47,39.7,40.1,38.9,59.3
2.01011E+14,395,64,102.8,0.52,84.5,54.1,63.2,48.9
1.94621E+14,290,60.3,39,0.51,39.3,46.1,42.5,26.5
2.0323E+14,475,60.4,159.5,0.38,70.2,52.1,83.8,98.8
2.03458E+14,440,51.7,134.7,0.49,73.3,50.1,76.5,65
2.03535E+14,365,50.5,85.1,0.46,60.2,58.1,53.5,42.3
2.03529E+14,485,48.1,109.9,0.57,57.1,64.1,79,51.7
1.844E+14,245,21.1,92.2,0.77,166,52.1,27.9,106.9
1.917E+14,260,80,21.3,1.14,36.3,48.1,34,44.4
1.843E+14,445,77,141.8,0.53,85.2,80.2,59.5,50.1
1.85E+14,195,11.2,28.4,0.57,36.2,40.1,23.1,28.6
1.904E+14,3100,92.4,1822.1,0.66,438.8,1062.1,109.4,426.6
1.856E+14,445,24.7,244.6,0.57,58.3,104.2,45,158.7
1.856E+14,320,17.6,67.4,0.93,54.8,52.1,46.2,45.3
1.859E+14,280,6.9,70.9,0.71,63.9,88.2,14.6,48.8
1.846E+14,210,68.6,39,0.69,43.4,42.1,25.5,34.4
1.857E+14,260,4.5,39,0.89,23.6,34.1,42.5,31
1.858E+14,345,87.2,74.4,1.05,83.8,40.1,59.5,73.8
1.859E+14,420,80.5,138.3,1,83,60.1,65.6,138.4
1.859E+14,935,27.8,219.8,0.61,226.9,80.2,178.6,101
1.9104E+14,260,2.6,67.4,0.79,40,30.1,45,29.4
1.852E+14,430,45.9,141.8,0.46,81.9,58.1,69.3,91.4
1.851E+14,410,24.6,99.3,0.64,158.7,72.1,55.9,47.1
1.85455E+14,260,14,21.3,0.66,29,24,48.6,36.6
1.913E+14,215,16,24.8,1.03,54.2,38.1,29.2,21.5
1.844E+14,195,26.8,17.7,0.93,33.6,28.1,30.4,24.7
1.90325E+14,340,13.3,148.9,0.92,248.5,54.1,49.8,235.5
1.90616E+14,270,81.8,42.5,1.4,41.9,32.1,46.2,76.8
1.84002E+14,345,79,99.3,0.73,79.8,60.1,47.4,44.2
1.84756E+14,205,16.1,31.9,1.84,41.7,32.1,30.4,49.3
1.84634E+14,340,70.8,85.1,0.92,62.6,32.1,63.2,51.3
1.84741E+14,210,80.9,92.2,1.26,23.7,30.1,32.8,95.1
1.85407E+14,340,83.6,78,0.98,55.2,36.1,60.8,47.8
1.90116E+14,360,85.1,326.1,0.93,222.1,24,72.9,357.1
1.85727E+14,290,15.5,74.4,1.05,53.3,30.1,52.2,57.9
1.85246E+14,780,81.3,340.3,0.8,191.2,158.3,93.6,163.5
1.91629E+14,530,77.2,244.6,1.22,249,90.2,74.1,156.4
1.9103E+14,505,70.9,453.8,0.83,228.8,52.1,91.1,191.1
1.90226E+14,285,41.9,31.9,0.79,59,36.1,47.4,40.7
1.85544E+14,265,11.6,39,0.69,37.5,30.1,46.2,34.5
1.85921E+14,250,80.2,95.7,1.52,57.4,18,49.8,185.3
1.90345E+14,325,45.4,85.1,0.95,58,42.1,53.5,39.7
1.91947E+14,470,65.8,187.9,0.98,160.4,44.1,87.5,104.5
1.85041E+14,365,41.6,131.2,0.73,72.3,50.1,58.3,61.7
1.85448E+14,400,45.4,124.1,0.73,71.9,28.1,80.2,58.5
1.84116E+14,235,44.6,49.6,0.69,39.5,38.1,34,32.2
1.90835E+14,345,71.1,85.1,0.79,75.8,48.1,54.7,37.7
1.84211E+14,255,38.7,56.7,0.82,35.6,36.1,40.1,28.1
1.9121E+14,125,60.6,24.8,1.57,29.4,16,20.7,165.7
1.84243E+14,285,59.6,67.4,0.78,38.8,24,54.7,37
1.8492E+14,295,21.8,70.9,1.12,70.4,30.1,53.5,59.3
1.90238E+14,280,64.3,46.1,1.35,45.8,28.1,51,52.4
1.85641E+14,325,37.9,53.2,0.91,45.5,26.1,63.2,39.2
1.91752E+14,305,31.5,85.1,0.75,58.7,58.1,38.9,28.3
1.84052E+14,365,60.7,117,1.11,33,44.1,62,37
1.8524E+14,95,9,17.7,0.86,20.4,30.1,4.9,69.5
1.84E+14,675,68.6,521.1,0.97,61.6,138.3,80.2,173.6
1.848E+14,120,37.5,85.1,1.58,41,32.1,9.7,93.9
1.85716E+14,370,22.3,124.1,1.04,54.8,46.1,62,36.7
1.84759E+14,195,25.8,56.7,0.8,28.3,70.1,4.9,97.2
2.105E+14,295,2.6,49.6,1.05,6.9,54.1,38.9,17.3
2.122E+14,425,42.3,230.4,1.1,95.1,80.2,54.7,127.1
2.123E+14,425,65.8,163.1,0.6,82.1,86.2,51,90
2.108E+14,490,88.3,255.2,0.61,93.5,128.3,41.3,89.2
2.106E+14,395,79.3,184.3,1.06,68.4,84.2,45,65.2
2.108E+14,70,4.1,10.6,0.66,6.9,20,4.9,5.2
2.1273E+14,360,42,138.3,0.61,66.8,38.1,64.4,53
2.12815E+14,195,15.3,49.6,0.71,51.8,34.1,26.7,48.3
2.057E+14,265,40.3,63.8,0.96,31.9,40.1,40.1,21.6
2.1235E+14,390,89,212.7,0.95,137.8,76.2,48.6,105.2
2.1093E+14,245,6.7,35.5,0.89,35.1,30.1,41.3,38.4
2.0463E+14,155,7.5,46.1,0.78,47.2,20,25.5,61.3
2.04445E+14,75,5.3,7.1,0.73,0,20,6.1,5.9
2.114E+14,140,10.3,21.3,0.92,18.4,14,25.5,28.6
2.10033E+14,175,2.1,102.8,0.63,50,30.1,24.3,24.4
2.117E+14,135,3.8,56.7,0.66,49.5,16,23.1,52.3
2.1073E+14,325,22.4,170.2,0.68,51.2,60.1,42.5,36.5
2.10225E+14,615,11.2,379.3,1.05,72.2,20,137.3,86.2
2.05517E+14,185,30.8,67.4,0.69,19.1,38.1,21.9,23.8
2.1003E+14,200,13.3,63.8,1.87,32.1,22,35.2,115.5
2.05008E+14,145,30.5,56.7,0.95,13.3,26.1,19.4,37
2.05814E+14,150,9.7,138.3,1.31,22.7,26.1,20.7,92.3
2.12848E+14,145,22.2,102.8,0.94,35.9,8,30.4,101.2
2.13206E+14,140,29.6,42.5,1.34,19.9,6,30.4,76.5
2.12433E+14,395,4.6,489.2,1.66,63.1,8,91.1,338.6
2.13126E+14,140,2.6,67.4,1.82,36.1,14,25.5,65
2.10559E+14,310,14.9,131.2,2.06,47.3,24,60.8,57.9
2.10341E+14,270,8.3,63.8,1.6,30.4,50.1,35.2,34.5
2.009E+14,795,90,276.5,0.49,164.2,230.5,53.5,95.9
2.001E+14,625,86.5,177.3,0.49,149.9,122.2,77.8,74.7
1.957E+14,270,7.6,67.4,0.28,28.6,58.1,30.4,26.6
2.0263E+14,460,36.5,148.9,0.38,63.6,50.1,81.4,66
2.00515E+14,485,33.5,237.5,0.42,70,80.2,69.3,105.3
1.959E+14,680,38.6,265.9,0.15,75.5,120.2,92.3,97.8
2.04033E+14,400,45.8,49.6,0.43,57.2,58.1,62,46.3
2.03706E+14,425,42.6,74.4,0.69,33.1,78.2,55.9,48.6
2.03106E+14,425,42.6,74.4,0.6,59.4,62.1,65.6,56.7
2.03834E+14,455,85.5,95.7,0.7,39.9,80.2,62,35.7
2.01737E+14,300,46,113.4,0.41,74,58.1,37.7,34.7
2.048E+14,850,12.5,283.6,0.79,170,122.2,132.4,73.4
2.041E+14,470,45.1,141.8,0.58,48.5,80.2,65.6,88.8
2.04E+14,340,45.1,49.6,0.63,38.3,44.1,55.9,35.7
2.025E+14,440,87.8,109.9,0.34,58.1,70.1,64.4,42.5
2.04328E+14,275,27,60.3,0.64,26.5,50.1,36.5,70
2.0205E+14,460,90.4,159.5,0.43,46.2,80.2,63.2,57.4
2.03745E+14,550,9.9,301.3,0.37,16.8,100.2,72.9,174.2
2.04948E+14,770,86.4,287.1,0.41,170,122.2,113,57.4
2.04859E+14,195,20.4,78,0.31,44.9,38.1,24.3,56.7
2.10526E+14,610,67.3,173.7,0.3,59.5,104.2,85.1,32.3
2.02725E+14,290,70.5,78,0.69,34.8,62.1,32.8,48.1
2.01748E+14,385,54.1,106.4,0.28,68.6,64.1,54.7,77.4
2.031E+14,365,42.1,81.5,0.57,67.3,60.1,52.2,38
2.024E+14,590,84.6,195,0.69,83.1,100.2,82.6,94.5
2.0053E+14,440,17.9,109.9,0.42,140.3,82.2,57.1,30.2
2.0042E+14,280,40.7,56.7,0.38,45.5,60.1,31.6,21.4
2.042E+14,445,45.9,117,0.35,56.9,80.2,59.5,70.1
2.033E+14,410,33.2,67.4,0.69,64.9,62.1,62,69.1
2.04E+14,650,84.1,234,0.35,70,102.2,96,129.6
2.044E+14,515,72.4,156,0.42,73.6,70.1,82.6,47.9
2.046E+14,290,13.4,81.5,0.56,28.4,48.1,41.3,37
1.9591E+14,690,86.6,414.8,0.54,410.6,90.2,113,215.2
2.04005E+14,450,12.8,99.3,0.27,163,66.1,69.3,67.2
2.103E+14,565,72.1,187.9,0.39,75.5,72.1,93.6,99.4
2.05145E+14,750,78.2,265.9,0.43,168.1,102.2,120.3,152.1
2.05218E+14,320,11.6,191.4,0.44,67.1,68.1,36.5,103.4
2.0333E+14,290,14.9,56.7,0.67,42.9,54.1,37.7,33.5
2.05655E+14,450,84.4,127.6,0.44,57.1,62.1,71.7,81
2.10125E+14,530,62.5,131.2,0.29,47.4,82.2,79,64.3
2.05823E+14,205,22,46.1,1.28,20.3,32.1,30.4,128
2.10624E+14,390,67.1,78,0.29,40,62.1,57.1,32.6
2.01802E+14,280,80.1,28.4,0.41,18.9,50.1,37.7,26.7
2.035E+14,275,10.1,67.4,1.03,23.9,70.1,24.3,32.7
2.007E+14,225,6.1,31.9,1.16,11.8,56.1,20.7,28
2.0293E+14,260,2.2,67.4,0.86,49.8,62.1,25.5,77.8
2.037E+14,245,23.4,85.1,0.97,42.2,50.1,29.2,65.6
2.004E+14,465,41.8,173.7,0.79,68.5,40.1,88.7,66.9
2.035E+14,355,1.8,92.2,1.89,23,60.1,49.8,115.6
1.939E+14,500,26.4,141.8,1.09,45.2,70.1,79,51.5
1.9453E+14,1170,4.5,1251.4,0.8,205.1,122.2,210.2,489.1
1.94E+14,375,69.1,226.9,1.6,67.8,64.1,52.2,268.5
2.002E+14,330,11.3,31.9,1.33,41.3,26.1,64.4,32.7
2.0001E+14,640,6.8,177.3,2.93,9.6,56.1,121.5,293.8
2.011E+14,170,57.3,99.3,1.22,63.2,50.1,10.9,64.7
2.003E+14,285,30.8,42.5,1.4,26.8,40.1,45,17.7
1.9373E+14,310,80.7,145.3,0.8,81.5,76.2,29.2,95.1
2.0243E+14,430,79.8,138.3,0.78,43,74.1,59.5,87.1
2.0183E+14,210,3.2,49.6,1.24,37,18,40.1,95.4
2.028E+14,905,58.9,421.9,0.94,85.4,166.3,119.1,102.3
2.0113E+14,705,43.7,528.2,1.01,93.2,106.2,106.9,193.7
1.949E+14,390,53.2,113.4,1.88,52.3,38.1,71.7,86.1
2.005E+14,340,7.6,99.3,1.78,36.4,36.1,60.8,119.8
2.01737E+14,380,69,195,1.22,76.7,64.1,53.5,62.9
2.02901E+14,375,39.5,127.6,1.99,197.3,24,76.5,209.1
2.01157E+14,325,39.6,365.1,2.08,256.6,72.1,35.2,417.4
2.0123E+14,140,3.3,17.7,0.83,17.8,24,19.4,7.7
2.0323E+14,540,41.6,156,0.8,25.4,136.3,48.6,92.6
2.03845E+14,295,30.6,92.2,1.28,29.2,64.1,32.8,30.9
2.03845E+14,435,68.1,255.2,1.34,51,102.2,43.7,98.7
2.02222E+14,475,19,195,0.75,39.3,90.2,60.8,102.2
1.95955E+14,180,10.4,46.1,2.78,17,42.1,18.2,99
1.94243E+14,240,40.2,31.9,2.66,47.5,18,47.4,103.4
1.94709E+14,630,15,180.8,2.79,22,54.1,120.3,71.9
1.94409E+14,345,23.8,138.3,1.01,52.4,64.1,45,36.2
1.94151E+14,405,24.7,81.5,1.89,35,20,86.3,103.5
1.94451E+14,250,18,28.4,2.38,24.1,36.1,38.9,74.6
1.94322E+14,170,4.6,7.1,0.94,11.9,12,34,8.1
2.00627E+14,205,8.3,31.9,0.62,20.1,52.1,18.2,11.9
2.00255E+14,190,38.6,53.2,0.46,35,38.1,23.1,17.3
1.9522E+14,200,6.8,17.7,0.68,12.7,48.1,19.4,11.5
